trial	block	num_tri_i	cond	stim_cond	corr_resp	resp	rt	acc	bl_cond_i	block_cond	t2t	t2t_i
0	0	1	0	[3, 5, 1]	2	2	0.8694359609128242	1	0	pure_pref	pure_pref	4
1	0	2	0	[2, 6, 4]	2	2	0.8139501396412925	1	0	pure_pref	pure_pref	4
2	0	3	0	[1, 3, 5]	2	2	1.250111961883249	1	0	pure_pref	pure_pref	4
3	0	4	0	[6, 4, 2]	2	2	1.3659499032773965	1	0	pure_pref	pure_pref	4
4	0	5	0	[3, 5, 1]	2	2	1.3885179978728956	1	0	pure_pref	pure_pref	4
5	0	6	0	[2, 6, 4]	2	2	1.4306635607611042	1	0	pure_pref	pure_pref	4
6	0	7	0	[3, 5, 1]	2	2	1.1505641634892072	1	0	pure_pref	pure_pref	4
7	0	8	0	[5, 3, 1]	2	0	0	nan	0	pure_pref	pure_pref	4
8	0	9	0	[6, 2, 4]	2	2	0.5546377100063182	1	0	pure_pref	pure_pref	4
9	0	10	0	[3, 1, 5]	2	0	0	nan	0	pure_pref	pure_pref	4
10	0	11	0	[4, 6, 2]	2	2	1.254788547543285	1	0	pure_pref	pure_pref	4
11	0	12	0	[2, 6, 4]	2	2	1.062752458496334	1	0	pure_pref	pure_pref	4
12	0	13	0	[6, 2, 4]	2	2	1.9227683819642607	1	0	pure_pref	pure_pref	4
13	0	14	0	[5, 3, 1]	2	2	1.3428244873077801	1	0	pure_pref	pure_pref	4
14	0	15	0	[4, 6, 2]	2	2	1.5107470967661811	1	0	pure_pref	pure_pref	4
15	0	16	0	[5, 3, 1]	2	2	1.2468840385893145	1	0	pure_pref	pure_pref	4
16	0	17	0	[3, 5, 1]	2	2	2.0427703723976265	1	0	pure_pref	pure_pref	4
17	0	18	0	[5, 3, 1]	2	2	2.0392992430133745	1	0	pure_pref	pure_pref	4
18	0	19	0	[6, 2, 4]	2	0	0	nan	0	pure_pref	pure_pref	4
19	0	20	0	[3, 1, 5]	2	2	1.0269625985108632	1	0	pure_pref	pure_pref	4
0	1	21	0	[4, 6, 2]	2	2	1.530978920065536	1	0	pure_pref	pure_pref	4
1	1	22	0	[3, 1, 5]	2	1	1.8957560226162968	0	0	pure_pref	pure_pref	4
2	1	23	0	[1, 3, 5]	2	2	1.5912996286597263	1	0	pure_pref	pure_pref	4
3	1	24	0	[3, 1, 5]	2	1	1.5272045605806852	0	0	pure_pref	pure_pref	4
4	1	25	0	[6, 2, 4]	2	2	2.055109815947162	1	0	pure_pref	pure_pref	4
5	1	26	0	[2, 6, 4]	2	2	1.6674548575906556	1	0	pure_pref	pure_pref	4
6	1	27	0	[4, 6, 2]	2	1	1.6077063986215308	0	0	pure_pref	pure_pref	4
7	1	28	0	[6, 4, 2]	2	2	1.9953131511672382	1	0	pure_pref	pure_pref	4
8	1	29	0	[5, 1, 3]	2	2	1.8356138310246024	1	0	pure_pref	pure_pref	4
9	1	30	0	[6, 4, 2]	2	1	2.3392759176210802	0	0	pure_pref	pure_pref	4
10	1	31	0	[5, 1, 3]	2	1	1.8713172315558495	0	0	pure_pref	pure_pref	4
11	1	32	0	[1, 5, 3]	2	2	1.9755851563422766	1	0	pure_pref	pure_pref	4
12	1	33	0	[6, 2, 4]	2	2	1.9154330125832075	1	0	pure_pref	pure_pref	4
13	1	34	0	[2, 6, 4]	2	1	1.707397881432371	0	0	pure_pref	pure_pref	4
14	1	35	0	[5, 1, 3]	2	1	1.6914653944479596	0	0	pure_pref	pure_pref	4
15	1	36	0	[4, 2, 6]	2	2	1.4995440663310546	1	0	pure_pref	pure_pref	4
16	1	37	0	[5, 1, 3]	2	2	1.6795675783266688	1	0	pure_pref	pure_pref	4
17	1	38	0	[6, 4, 2]	2	2	1.8041556518980997	1	0	pure_pref	pure_pref	4
18	1	39	0	[1, 3, 5]	2	1	2.0555971611443056	0	0	pure_pref	pure_pref	4
19	1	40	0	[3, 1, 5]	2	2	2.0635489428932487	1	0	pure_pref	pure_pref	4
0	2	41	0	[2, 4, 6]	2	2	1.1397685499068757	1	0	pure_pref	pure_pref	4
1	2	42	0	[1, 5, 3]	2	2	1.6077474513119796	1	0	pure_pref	pure_pref	4
2	2	43	0	[2, 4, 6]	2	2	1.6159977980828444	1	0	pure_pref	pure_pref	4
3	2	44	0	[5, 3, 1]	2	2	1.7918482418872372	1	0	pure_pref	pure_pref	4
